"","source_id","probability","org.phot_bp_mean_mag","org.parallax"
"87",661291136701346304,0.7,6.3392134,5.38363221872494
"7",661322060465742336,0.966666666666667,6.592861,5.37844090461919
"90",661324431287688448,0.7,6.620129,5.4218530125096
"88",661297080936069632,0.7,6.6616106,5.41056556885518
"6",661311443306610688,0.966666666666667,6.725384,5.48758761350601
"1",659771027514771328,0.991666666666667,6.7869296,5.46981030958837
"3",661246022364851072,0.991666666666667,6.817877,5.45203049451445
"86",661271173693364864,0.7,6.820746,5.94774375974774
"2",661217916098904448,0.991666666666667,6.841698,5.35216025349422
"4",661300551269631360,0.991666666666667,6.894305,5.35595188611872
"15",661396754238802816,0.908333333333333,7.1320615,5.30334122829773
"10",661271208050524544,0.95,7.380843,6.98346024662325
"11",661288628440350080,0.95,7.5041075,5.30088062187743
"9",661290758744228224,0.958333333333333,7.576736,5.41025809318137
"8",661268253115601792,0.958333333333333,7.605361,5.403336785707
"21",661190015991474688,0.875,10.360586,5.43682371632643
"38",661216743570426240,0.841666666666667,10.370845,5.42912265402266
"19",661311752544249088,0.883333333333333,10.423574,5.42792588697658
"18",661242895630246016,0.883333333333333,10.433624,5.38324822382578
"33",664326922664482944,0.875,10.467183,5.37499426047953
"28",661297115295806592,0.875,10.591003,5.40089513230916
"26",661268940310277888,0.875,10.630808,5.38903643383918
"31",661424074528836480,0.875,10.631867,5.54048208691099
"34",664337230586013312,0.875,10.698692,5.47228686570761
"23",661207024061875456,0.875,10.73025,5.41845931377759
"22",661200083396357248,0.875,10.759707,5.80389070872551
"27",661277461525418752,0.875,10.793223,5.39365090436518
"25",661264439184662016,0.875,10.809184,5.4629307686182
"24",661243273585807872,0.875,10.834932,5.41179692496236
"30",661401122222444288,0.875,10.874394,5.36952400178561
"20",659687498990893056,0.875,10.876499,5.45198153920533
"12",661306319407420160,0.925,10.878068,5.22276788051934
"29",661339790089527168,0.875,10.934808,5.94144387114391
"32",664324684984105728,0.875,10.953721,5.39772175933562
"5",661294332158553856,0.975,11.042647,5.35765211568
"36",661273132199950208,0.858333333333333,11.076342,4.62199241258133
"17",661301444622810368,0.891666666666667,11.096766,5.75396146097956
"16",661229564050262528,0.9,11.163954,6.26494886032229
"37",661293537585522816,0.858333333333333,11.18607,5.35585016877305
"35",661216369910684544,0.858333333333333,11.1880865,5.44453370932825
"14",661319483485360000,0.916666666666667,11.188203,5.39564934363955
"13",661253478428045568,0.916666666666667,11.220029,5.42497988093614
"42",661212933936844416,0.833333333333333,11.337093,5.2154102089384
"49",664311392062657920,0.808333333333333,11.43594,5.38862111351736
"52",664302424170984576,0.8,11.48276,5.40896585874815
"53",664344824088164352,0.8,11.487199,5.24718073145992
"50",661292511090872960,0.8,11.523209,5.38366198601916
"67",661220969817342848,0.733333333333333,11.5907135,5.43627551515237
"64",660998975844267264,0.733333333333333,11.630422,5.33609179577905
"74",664288748995228160,0.733333333333333,11.64702,5.42277269695101
"71",661302887731820416,0.733333333333333,11.67982,5.40809805776137
"75",664422683254834304,0.733333333333333,11.707273,5.54448404166067
"89",661317250102374528,0.7,11.80335,5.41801276235637
"79",661422837576998784,0.725,12.239061,5.39188790680415
"72",661310923612365312,0.733333333333333,12.265436,5.63210028078529
"73",661319547906688896,0.733333333333333,12.298567,5.52172577187199
"80",664334035130360192,0.725,12.30272,6.01665665076811
"65",661029384212747392,0.733333333333333,12.330622,5.38839179888483
"91",661331131435476608,0.7,12.336436,5.41492186944067
"66",661029727808613760,0.733333333333333,12.338475,5.29541468424028
"68",661222279785743616,0.733333333333333,12.359503,5.4386962765554
"70",661300993647979776,0.733333333333333,12.402983,5.30479817715593
"69",661293812462666240,0.733333333333333,12.404102,5.37696496976374
"83",659755630055476992,0.7,12.475515,5.38242584433048
"93",664283526315590656,0.7,12.544525,5.56592354983729
"92",661338858079663488,0.7,12.549118,5.60941057734091
"81",661402423595631232,0.716666666666667,12.550391,6.20486316231214
"85",661258872906952320,0.7,12.586641,5.53304089490407
"84",661239390935360512,0.7,12.638067,5.51018254205024
"63",661315837054947840,0.741666666666667,12.754824,5.36438764127878
"77",661265951013145344,0.725,12.842239,5.39844441775535
"78",661314638762274176,0.725,12.941636,5.34115406434144
