num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;     spec. type      
----;----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------------------
1   ;     25.85;Cl* NGC 2632 S 119                 ;SB*;08 40 23.2706451960 +19 40 23.704368132;     ~   ;10.96    ;10.37    ;     ~   ;G0V                  
2   ;     29.48;HD 73710                           ;*  ;08 40 22.0864518288 +19 40 11.771283936;8.290    ;7.410    ;6.390    ;5.70     ;G9III-IIIb           
3   ;     63.87;Cl* NGC 2632 JC 209                ;*  ;08 40 27.5113002591 +19 39 19.765256407;     ~   ;14.31    ;13.22    ;     ~   ;K4V                  
4   ;     76.92;[WBG2011] D05                      ;LM*;08 40 21.561 +19 38 51.23              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
5   ;     77.46;BD+20 2170                         ;*  ;08 40 26.1405874128 +19 41 11.315709132;     ~   ;9.79     ;9.45     ;     ~   ;~                    
6   ;     85.14;[WBG2011] D04                      ;LM*;08 40 20.994 +19 38 46.21              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
7   ;     85.61;HD 73709                           ;SB*;08 40 20.7479143752 +19 41 12.242993316;     ~   ;7.87     ;7.68     ;     ~   ;kA2hA5mF0(III-IV)(Cr)
8   ;    103.84;LB 5967                            ;blu;08 40 30.0 +19 41 00                   ;     ~   ;18.2     ;     ~   ;     ~   ;~                    
9   ;    105.59;[WBG2011] A05                      ;LM*;08 40 25.044 +19 41 44.56              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
10  ;    129.28;[WBG2011] D07                      ;LM*;08 40 26.220 +19 37 54.58              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
11  ;    147.84;Cl* NGC 2632 JC 212                ;*  ;08 40 31.5051444174 +19 41 43.051985858;     ~   ;16.56    ;15.11    ;     ~   ;~                    
12  ;    148.52;2MASS J08402659+1937360            ;LM*;08 40 26.5943194224 +19 37 36.068649132;     ~   ;     ~   ;     ~   ;     ~   ;M1V                  
13  ;    179.03;Cl* NGC 2632 JC 215                ;Ro*;08 40 33.4642580616 +19 38 00.935332332;     ~   ;13.094   ;12.198   ;     ~   ;K0.8                 
14  ;    181.83;Cl* NGC 2632 HSHJ 302              ;*  ;08 40 11.5884886238 +19 39 11.789641692;     ~   ;     ~   ;     ~   ;     ~   ;M3.7                 
